mfcc_0_mean,mfcc_0_std,mfcc_0_min,mfcc_0_max,mfcc_1_mean,mfcc_1_std,mfcc_1_min,mfcc_1_max,mfcc_2_mean,mfcc_2_std,mfcc_2_min,mfcc_2_max,mfcc_3_mean,mfcc_3_std,mfcc_3_min,mfcc_3_max,mfcc_4_mean,mfcc_4_std,mfcc_4_min,mfcc_4_max,mfcc_5_mean,mfcc_5_std,mfcc_5_min,mfcc_5_max,mfcc_6_mean,mfcc_6_std,mfcc_6_min,mfcc_6_max,mfcc_7_mean,mfcc_7_std,mfcc_7_min,mfcc_7_max,mfcc_8_mean,mfcc_8_std,mfcc_8_min,mfcc_8_max,mfcc_9_mean,mfcc_9_std,mfcc_9_min,mfcc_9_max,mfcc_10_mean,mfcc_10_std,mfcc_10_min,mfcc_10_max,mfcc_11_mean,mfcc_11_std,mfcc_11_min,mfcc_11_max,mfcc_12_mean,mfcc_12_std,mfcc_12_min,mfcc_12_max,mfcc_13_mean,mfcc_13_std,mfcc_13_min,mfcc_13_max,mfcc_14_mean,mfcc_14_std,mfcc_14_min,mfcc_14_max,mfcc_15_mean,mfcc_15_std,mfcc_15_min,mfcc_15_max,mfcc_16_mean,mfcc_16_std,mfcc_16_min,mfcc_16_max,mfcc_17_mean,mfcc_17_std,mfcc_17_min,mfcc_17_max,mfcc_18_mean,mfcc_18_std,mfcc_18_min,mfcc_18_max,mfcc_19_mean,mfcc_19_std,mfcc_19_min,mfcc_19_max,delta_mfcc_0_mean,delta_mfcc_0_std,delta_mfcc_0_min,delta_mfcc_0_max,delta_mfcc_1_mean,delta_mfcc_1_std,delta_mfcc_1_min,delta_mfcc_1_max,delta_mfcc_2_mean,delta_mfcc_2_std,delta_mfcc_2_min,delta_mfcc_2_max,delta_mfcc_3_mean,delta_mfcc_3_std,delta_mfcc_3_min,delta_mfcc_3_max,delta_mfcc_4_mean,delta_mfcc_4_std,delta_mfcc_4_min,delta_mfcc_4_max,delta_mfcc_5_mean,delta_mfcc_5_std,delta_mfcc_5_min,delta_mfcc_5_max,delta_mfcc_6_mean,delta_mfcc_6_std,delta_mfcc_6_min,delta_mfcc_6_max,delta_mfcc_7_mean,delta_mfcc_7_std,delta_mfcc_7_min,delta_mfcc_7_max,delta_mfcc_8_mean,delta_mfcc_8_std,delta_mfcc_8_min,delta_mfcc_8_max,delta_mfcc_9_mean,delta_mfcc_9_std,delta_mfcc_9_min,delta_mfcc_9_max,delta_mfcc_10_mean,delta_mfcc_10_std,delta_mfcc_10_min,delta_mfcc_10_max,delta_mfcc_11_mean,delta_mfcc_11_std,delta_mfcc_11_min,delta_mfcc_11_max,delta_mfcc_12_mean,delta_mfcc_12_std,delta_mfcc_12_min,delta_mfcc_12_max,delta_mfcc_13_mean,delta_mfcc_13_std,delta_mfcc_13_min,delta_mfcc_13_max,delta_mfcc_14_mean,delta_mfcc_14_std,delta_mfcc_14_min,delta_mfcc_14_max,delta_mfcc_15_mean,delta_mfcc_15_std,delta_mfcc_15_min,delta_mfcc_15_max,delta_mfcc_16_mean,delta_mfcc_16_std,delta_mfcc_16_min,delta_mfcc_16_max,delta_mfcc_17_mean,delta_mfcc_17_std,delta_mfcc_17_min,delta_mfcc_17_max,delta_mfcc_18_mean,delta_mfcc_18_std,delta_mfcc_18_min,delta_mfcc_18_max,delta_mfcc_19_mean,delta_mfcc_19_std,delta_mfcc_19_min,delta_mfcc_19_max,f0_mean,f0_std,f0_min,f0_max,centroid_mean,centroid_std,rolloff_mean,rolloff_std,speaker
-252.33998,119.2237,-14.635687,27.655758,4.2477975,2.0760014,-16.88461,2.530676,-1.9680527,3.3192575,-1.1625807,1.6080288,0.6514196,6.666114,-0.6045123,-3.3994923,-3.6472828,0.071960874,1.1951044,-0.26837498,49.644287,46.467,34.686943,24.09971,18.248056,14.144352,13.517154,10.827968,9.347891,9.1280575,7.9910502,8.282198,7.0587797,7.088433,7.178322,7.1298485,7.119833,9.023547,8.845597,8.730437,-372.95575,-6.8410044,-108.23726,-20.182714,-56.591064,-46.67681,-50.461548,-31.198807,-23.949352,-29.239616,-27.57992,-35.67209,-19.458033,-15.566027,-25.617462,-22.961296,-21.864676,-20.165941,-20.841856,-21.181372,-135.74521,193.7354,67.35769,118.257065,40.39756,41.423042,15.68975,29.95995,26.007555,26.186651,18.488365,24.556911,17.65609,24.367844,18.928658,33.6323,35.633183,48.825874,44.767582,35.137253,-0.11034802,-0.23476078,0.25844523,0.012465594,0.03560699,0.049085785,-0.003134836,-0.025659118,-0.04791189,-0.0037558083,-0.010671317,-0.00088930794,0.01297175,0.016013937,0.020549463,0.026104849,-0.018165363,0.007434533,-0.0075152623,-0.014017816,9.3652935,9.643773,7.3774385,4.491714,3.7726548,2.9150116,2.5098956,2.0149636,1.5227095,1.6393847,1.5152949,1.3875257,1.349691,1.3435298,1.2814468,1.4028015,1.347025,1.6772274,1.6238827,1.5668107,-21.927555,-25.146484,-19.065811,-15.939805,-10.962387,-9.581296,-5.6592436,-6.286269,-4.1930437,-4.748044,-3.5165348,-4.6722293,-3.6762466,-3.8908463,-3.5489044,-4.9733624,-5.5061293,-5.640034,-5.6028156,-7.191611,28.797874,23.595165,18.762087,13.052207,9.242513,9.965356,5.810799,6.4036484,4.6403317,3.7249818,4.217525,4.352596,3.3594537,4.4288664,3.3578053,6.111061,7.4604754,8.846616,6.5953703,6.3033834,242.44499008192187,67.84978410942155,154.66751207845843,427.4740541075866,1948.9724964552684,1154.4251878324756,3641.6093795316124,2137.643606256519,vl
-246.38936,121.07392,-20.43357,21.905987,5.49808,5.293117,-14.634933,1.3743321,-2.4579284,8.826725,-0.93851155,3.6381173,-1.0678965,8.745023,0.5694149,-2.8558776,-4.6485424,-1.0396378,-0.421259,0.06888207,50.50061,47.219524,36.18401,21.16935,15.384441,12.514559,12.462435,11.84022,9.017643,8.861259,7.987725,6.0233407,6.44619,6.211557,7.10515,6.7188225,5.0280643,5.667776,5.7362466,6.885064,-380.52753,-7.248459,-111.42783,-38.796394,-46.975563,-36.375023,-45.844315,-36.739506,-26.87131,-15.258061,-25.16035,-10.557951,-26.158236,-8.137224,-19.159414,-22.455772,-18.953403,-20.553127,-22.069221,-12.555292,-115.402954,195.22487,65.89929,74.69331,39.02465,35.598793,22.31073,32.36849,25.639853,36.231415,17.872265,22.468262,15.130089,25.306705,16.794674,13.583243,8.684879,15.131305,19.833527,45.04105,-0.03247285,0.1620016,-0.026227472,0.008460228,-0.07653347,-0.01317209,0.0427834,-0.0024628208,-0.013532544,0.009309043,0.013723175,-0.013948598,0.012364598,-0.028237145,-0.01699888,-0.033429246,-0.011190544,-0.024095545,-0.015918275,-0.0028201765,9.8202915,10.379712,8.104727,3.940112,3.0174186,2.4732382,2.4074526,2.117051,1.55448,1.612461,1.3731693,1.0736576,1.1649188,1.1912174,1.2568338,1.2493669,0.88961554,1.0612432,1.0832363,1.281989,-21.107708,-24.926662,-19.758072,-9.3722925,-8.975512,-8.314667,-7.0846195,-6.2701106,-3.7900226,-3.7428021,-4.0328884,-3.2379158,-3.8567598,-3.6991692,-4.3560824,-3.3661196,-2.256567,-2.5142117,-4.361706,-5.2879515,38.335423,25.473003,23.435268,12.003178,8.307576,8.217243,6.6427236,5.480089,3.74027,4.3596845,3.710092,3.816753,3.4950454,3.3983803,3.5129237,3.3680263,2.132684,2.848082,3.3718965,7.4113593,212.6054526604185,42.896707243399796,157.37105256787842,372.1377785978373,1997.1927414754794,1170.6771557867785,3777.6032981075987,2300.106807207287,vl
-193.87523,112.72425,-15.265062,20.597315,-5.674291,7.491429,-18.866888,-18.590479,-0.3809762,9.365673,3.1060767,1.510198,0.66750294,-2.3283844,-4.698634,-0.536728,-2.7261899,-0.14451928,-1.3726846,1.7963009,59.686794,53.19946,41.08561,27.387291,23.399775,16.995014,17.363165,15.741175,11.849759,10.567786,9.689433,8.5775385,8.111847,8.0329,9.111568,7.8085413,8.367921,8.414851,10.286441,12.18027,-363.65585,-48.727985,-111.07535,-53.74804,-83.02159,-35.29017,-61.276012,-60.098076,-35.195663,-29.694477,-28.91922,-25.3833,-29.952513,-28.709175,-36.75519,-29.103973,-34.967037,-36.48581,-25.410925,-29.430782,-60.461033,210.07068,77.221436,103.2963,38.183167,48.013084,28.927435,19.349321,35.497787,30.279007,24.895891,24.675991,22.48531,15.474249,18.096432,21.301195,21.764648,28.426058,50.952515,49.745262,0.17236881,-0.10674171,0.014548348,0.059762686,0.026905263,-0.0899888,-0.0458184,-0.0066421228,0.051851682,-0.01275294,-0.08687252,0.03396257,0.027671779,-0.008463388,-0.01085087,0.014785704,0.043428082,0.042413786,0.012851844,0.006552932,12.113341,10.791794,9.031047,4.9969873,4.599967,3.2619064,2.9091992,3.1466284,2.2988017,2.0279396,1.6103196,1.6141874,1.5951867,1.3764939,1.7920513,1.4698869,1.5118557,1.5755008,1.8928813,2.1794279,-29.888708,-31.362827,-23.30458,-14.111577,-16.189737,-9.224368,-8.121322,-7.0641847,-7.035591,-6.002831,-4.4213696,-5.7251563,-5.8678417,-4.5119805,-6.441908,-6.2427425,-6.283215,-4.7682986,-4.894414,-5.656248,37.551544,25.158354,21.513924,17.57543,9.88364,8.969354,8.113058,8.314169,6.717665,5.902676,5.3703675,4.1392083,4.6138134,3.7391536,5.4745636,4.1906247,4.69231,6.3608193,9.594791,10.089064,260.6110827250755,52.01273494340508,161.0494265540188,378.64263238750516,2039.794791312306,1297.4461705640206,3731.614171711862,2318.1782960376477,vl
-255.0649,124.71145,-18.420242,29.603743,6.5259156,4.591487,-16.401628,0.47169143,-3.6721566,6.366108,-3.2531488,3.7736623,-1.3727868,8.721506,0.42185393,-2.4441774,-3.2124772,0.1441678,-0.6530498,-0.91213423,45.884804,46.477745,33.83861,23.607018,15.687374,13.0390415,12.549251,10.206219,8.8221655,9.390272,7.083778,7.7429757,7.0884843,6.739674,6.1582184,6.7950387,5.6829505,5.5610056,5.7506127,4.7879605,-381.78534,-18.545128,-92.57528,-36.173874,-50.445652,-40.693283,-45.136345,-29.789665,-27.060984,-25.551456,-23.77971,-20.052567,-24.157106,-9.29319,-23.07806,-22.105509,-20.40812,-16.352535,-17.803507,-15.907944,-137.64478,206.74432,68.14915,94.50375,40.358204,34.024456,19.713211,27.243814,25.472502,34.654503,15.706656,31.916996,17.38251,26.502201,13.1437235,13.922995,11.915949,14.319181,13.964149,9.2063465,0.07186178,-0.1787534,0.08402341,0.094058156,-0.011631255,-0.0110228695,0.0127323,0.008895205,-0.0222648,-0.01803011,-0.04675543,0.010736638,-0.019085146,0.024654463,-0.03820777,0.006382451,0.02317133,0.0054009687,-0.006554224,0.013163763,9.211611,9.099655,7.1709723,4.8574824,2.918814,2.8190186,2.1146538,1.942035,1.695353,1.485933,1.2573909,1.363828,1.4523956,1.2928064,1.1774099,1.2531142,1.0771928,0.9718354,1.0558671,0.78574014,-22.816586,-23.899248,-19.74357,-10.459532,-9.852305,-8.91765,-5.332675,-5.6576457,-4.637231,-5.9573965,-3.460235,-4.325649,-4.4284024,-4.498121,-4.2195005,-3.696591,-3.2406242,-2.705901,-2.9163435,-2.0100582,27.698286,20.972967,20.288385,13.483333,9.193683,8.980039,5.957345,6.6241755,4.3686705,4.1540127,4.0201497,3.6709278,4.144291,3.3392835,3.2410915,3.59116,2.8568685,2.1113582,3.3570101,2.0111647,208.62093961573473,34.66328140243821,152.89100418265707,304.0208335929107,1879.075428542579,1138.837097639336,3548.2821789805685,2211.9431020464795,vl
-252.02617,119.13999,-13.049213,24.779299,-1.1020366,5.7641907,-11.693299,1.1452785,-2.7314873,8.074359,-3.529788,3.3156111,0.45230362,5.155886,-1.9111229,-4.697379,-3.532064,0.90983534,0.59461564,-0.89985174,46.47698,47.029633,32.95549,24.473364,18.792887,13.44366,13.223463,11.238793,9.5752535,8.981075,7.6929536,6.2818108,6.4020195,7.208795,7.899212,6.0950227,5.7399545,7.067585,7.7831297,7.8405495,-384.98477,-44.58866,-116.18699,-37.31231,-59.44606,-35.740284,-45.34053,-45.521782,-24.66873,-31.28553,-27.196196,-12.7904005,-20.47053,-24.413633,-27.753592,-22.018604,-19.668758,-15.746065,-29.197578,-20.587631,-129.59848,193.24199,74.01143,96.15437,38.60679,38.75206,27.16399,31.352345,24.239891,36.138676,20.280495,22.10839,18.894695,24.926678,18.177021,13.112547,20.796013,43.544853,46.29572,41.290688,-0.008147167,0.012872457,0.020355774,0.08773366,0.06559576,-0.032256525,-0.031643536,-0.0024561926,-0.0030775075,-0.011444824,-0.008834112,-0.007703259,-0.002093695,0.004490233,0.01873844,0.0031442863,0.007918238,0.0021047178,-0.015891755,0.009606573,8.659775,9.034786,6.6560264,4.1177773,3.3091006,2.4938445,2.4166493,2.0074468,1.7538139,1.6717072,1.5420332,1.1824803,1.0351585,1.3489033,1.2597392,1.144521,1.0751593,1.318737,1.4958099,1.3486335,-24.37274,-25.66042,-21.029675,-12.606941,-8.402783,-8.6107855,-6.7267504,-5.857823,-4.3689747,-6.7073736,-3.9581742,-3.4039848,-3.5518997,-5.4014163,-3.3457925,-3.29712,-3.401596,-4.7345943,-5.0280294,-4.0986276,28.324657,22.280375,17.180353,9.926203,10.683701,6.20172,5.459616,5.3850303,5.312657,4.7834578,5.128939,3.243845,2.8720157,4.564817,3.1619182,3.4572482,3.1388257,7.8601656,8.167672,6.834085,227.3201465872696,63.784515261573475,65.40639132514966,422.5640958224419,1907.473733289798,1126.987271151913,3524.900417814675,2033.7719720264897,vl
-257.06708,128.21701,-10.745112,22.18644,4.8988414,6.459041,-19.775236,0.56158274,-6.2215405,3.2424996,0.06113358,5.432323,1.3703386,7.287183,-1.2531723,-3.1748345,-2.0274827,-2.198049,-4.1833134,-3.9605987,48.375664,42.4943,29.429377,20.25108,16.869778,13.731398,13.557936,10.753601,9.978608,10.261158,8.946312,7.457557,7.7545805,6.3098855,6.661907,5.7563705,5.4907975,6.084577,5.869942,5.3442307,-367.93042,-20.497803,-102.72659,-32.363327,-60.25805,-33.406666,-58.514343,-33.503212,-34.837994,-35.85136,-20.975012,-15.333374,-28.391632,-11.491716,-19.561586,-17.709265,-16.618725,-24.828102,-24.62106,-21.430695,-126.72759,209.2934,65.578865,79.70579,41.34717,40.09526,8.244009,28.690046,19.783175,26.423206,29.462532,30.9938,19.228603,24.923447,17.104263,13.529295,13.942757,17.192171,11.123562,8.824822,0.025728814,0.07635683,-0.034907464,0.02447208,-0.074923396,-0.059998713,0.043936744,-0.0052246605,0.004780643,-0.010927344,0.020425782,0.004848054,-0.011476554,-0.004080905,-0.013637521,-0.03921709,-0.007129699,-0.012813222,-0.010977893,0.028342234,9.688576,8.104482,5.4572477,3.8043754,2.9464693,2.7300675,2.4038525,2.038716,1.691854,1.5939105,1.5299733,1.3907825,1.423117,1.0580676,1.2726839,1.0199844,0.97740525,0.9502223,1.0488782,0.9833816,-19.867975,-26.70855,-14.565607,-8.956166,-10.082565,-8.514937,-7.096328,-5.4205413,-3.723742,-3.8871331,-4.021457,-4.077855,-5.3241076,-2.4618654,-3.8891616,-2.7307634,-2.9061923,-2.4557593,-2.6628222,-2.422126,30.479586,22.79264,12.422865,11.721691,7.5693254,5.7941318,7.0152464,6.5651755,5.03499,4.9824514,4.607311,3.9891753,3.7926252,3.3587787,2.8942814,2.3559859,2.5887117,2.5050895,2.704725,3.0022385,223.63421097288563,37.37205333683887,169.64319079487348,318.3992322368831,1672.81205780731,987.0396641418222,3096.7094262072214,1871.618479720432,vl
-193.7118,112.42356,-13.841009,22.01936,-6.7818155,2.395514,-18.307655,-13.744594,-0.08495301,5.06526,3.6546786,-0.055536594,-1.7384398,1.9419248,-2.4444087,0.85497713,-1.1568977,3.0076103,-2.8563802,0.6761315,66.566124,46.674736,40.94338,23.173601,21.856007,16.740242,15.984084,14.048421,12.745141,10.387759,8.733638,9.42042,8.272328,8.714308,10.280668,11.165256,9.927205,9.0174675,9.806176,9.306204,-368.5635,-28.62574,-126.3284,-47.860687,-80.9185,-44.959766,-58.11442,-51.275997,-28.972876,-28.102852,-24.777008,-38.64524,-27.220877,-19.20868,-42.461025,-32.723152,-24.655682,-28.1345,-23.37638,-22.254744,-48.239693,187.07198,79.5323,93.71818,33.50646,51.366688,20.615726,24.417881,42.18562,30.704466,28.623974,27.37716,24.525152,51.516693,42.795067,49.892185,47.223904,53.46547,51.853436,50.908066,0.2398932,0.31104138,-0.20855618,0.05850687,-0.062384285,-0.00985964,-0.037613157,-0.10803297,-0.017384514,-0.04514815,-0.0027766482,0.0036888819,-0.0045097643,-0.05071213,0.016951159,-0.032371197,-0.020193959,-0.031684026,-0.008214903,-0.0043500704,12.6406975,9.93317,7.967415,4.344861,4.26299,2.806026,3.0077782,2.8483725,2.2635367,1.8147854,1.76698,1.6978763,1.4991798,1.5643157,1.9577949,2.1224773,1.7993667,1.4567918,1.9066817,1.8265498,-33.55666,-29.937277,-20.694216,-10.274275,-12.382223,-8.322898,-9.199521,-8.245588,-7.5978146,-5.527656,-4.6173797,-3.9466574,-4.008943,-6.552351,-7.273626,-7.1558375,-7.805303,-4.352682,-5.8309445,-7.846302,38.153797,29.858753,23.393026,13.616961,10.066139,7.804927,7.1211867,7.5927734,7.746787,5.1496572,4.7815576,8.448987,5.088104,8.070058,7.770368,9.613223,7.4917746,8.184121,9.191692,6.899434,260.02507974469864,67.10332852683244,174.61411571650194,491.03874275729817,2004.3910607430153,1299.8534455016254,3682.7273056844547,2219.799871479698,vl
-263.04532,128.93448,-12.522015,26.71048,-0.19426796,2.6421726,-12.4342,2.5921903,-3.8431003,6.6078067,-3.5007164,1.6195003,0.11514339,5.007246,-1.8657635,-3.9544516,-2.1957996,0.054037355,0.86544436,-0.535788,49.307487,44.488163,30.677162,22.973522,20.037241,12.438104,12.298852,9.333276,9.427792,9.922345,7.875621,7.4850383,6.8989286,6.2191267,7.283188,7.288188,6.807486,7.7102923,7.506967,5.6674266,-374.35504,-18.48065,-84.325226,-27.227764,-90.66577,-31.958042,-52.73768,-24.093773,-26.235533,-27.76506,-21.313435,-21.413647,-20.449425,-13.76627,-20.456627,-23.51588,-18.392284,-22.739328,-20.568233,-15.8347645,-149.85498,198.80313,67.212944,93.49206,37.647133,31.02752,17.568705,22.676079,23.49741,29.35328,16.756552,33.873955,17.612507,23.880255,21.645817,33.439663,30.285206,40.9149,39.222786,27.723637,0.07436573,-0.2975679,0.1884339,0.048282016,0.12498013,-0.030384436,-0.09215994,0.010286697,0.025614148,-0.02118771,-0.008723938,-0.03572793,0.016078455,0.06998925,-0.03477116,0.03177453,0.015821526,-0.014116884,-0.012673097,0.03415895,9.299749,8.388542,6.4511633,4.108025,3.624646,2.5163617,2.2263837,1.768018,1.793414,1.7267066,1.4768492,1.1971103,1.2950227,1.2175629,1.2379018,1.3973596,1.3444629,1.5089813,1.3814043,0.98389727,-21.077091,-24.089832,-15.609576,-12.322019,-13.234095,-6.7956886,-5.9663253,-4.3895235,-4.313572,-5.305469,-4.706272,-4.2401752,-4.5467825,-3.0738225,-3.4076035,-4.6114793,-4.8535204,-4.9307585,-4.412928,-3.4058242,25.715992,25.487762,20.642982,10.819817,12.154748,6.264963,5.071041,4.0203137,5.2175884,5.5005527,4.2582574,3.2045052,3.020127,2.94283,3.9886603,6.2381163,7.4489293,6.052195,6.857946,3.6163025,221.66153078919604,69.72343158511765,65.40639132514966,437.46578647972086,1776.8285859953876,1062.56275958051,3324.3068898636893,2008.8186513183557,vl
-204.74059,100.0423,-14.148794,35.433193,2.19566,-7.005871,-11.140951,-7.6936364,-3.248958,0.81452876,-2.2751288,7.373267,-1.8794395,5.5209894,1.6298664,-3.330841,-1.8116198,2.619726,0.17381223,1.0645167,70.31463,50.90387,39.172684,28.106905,20.235655,18.602812,16.499878,14.638638,12.233354,9.942453,9.232288,9.0576515,9.040322,8.501759,7.2946405,8.979027,8.413505,8.720281,8.687575,10.273246,-478.23828,-65.42285,-107.5833,-50.16951,-84.282745,-58.61625,-63.194946,-55.845882,-30.789541,-26.555305,-27.789242,-21.51608,-27.613735,-16.758877,-23.841303,-25.544798,-20.345936,-18.266678,-23.737217,-24.287394,-55.082836,200.17014,83.70099,108.557526,42.596508,34.596092,35.43493,23.10432,33.279343,22.77309,21.862688,35.516,24.185799,24.919704,22.634129,41.320435,46.139366,57.57042,36.916103,48.91276,0.58439106,-0.2804679,0.105551295,-0.0028815833,-0.019838095,0.009477217,-0.043054033,0.02475095,0.0039429674,0.0051356503,-0.00056284707,-0.0051573333,-0.037334256,0.009233235,0.016057035,0.010395237,0.015564177,0.027610974,0.0011624693,0.057201885,14.466801,10.164425,8.088753,5.1866736,3.8363314,3.6527069,3.095748,2.6817515,2.2630787,1.8223046,1.6493983,1.7290251,1.6279067,1.4355848,1.3823566,1.8501619,1.626535,1.6627041,1.639416,2.2019713,-43.304924,-28.694427,-21.382553,-15.088293,-17.020357,-9.682291,-9.6305065,-7.7287593,-7.344422,-4.589122,-4.8508554,-4.437351,-5.674629,-4.266231,-5.171371,-8.078636,-7.2741904,-7.4236674,-6.0756164,-8.69281,52.277283,29.593567,18.98432,19.04634,10.517319,10.054748,11.692037,8.481313,6.558801,5.0548143,5.2852335,4.4502583,4.40542,3.7113967,4.0750732,7.49605,5.968691,6.5474725,5.664348,8.5834,260.1478633422745,77.3521955783418,159.19961611844158,655.4580837739891,2210.983411399894,1342.1099435151357,4010.39670868982,2191.1816440468283,vl
-251.60992,109.68063,-11.0810795,25.96527,9.504985,3.559086,-14.575633,3.7526047,-3.2061899,5.1238866,-3.6181548,1.7453084,1.3274131,9.089333,-1.1619776,-2.1301014,-3.9441059,-1.1623764,-3.1405318,-1.4791403,47.707924,48.8609,33.561672,21.362614,14.744729,13.749272,12.618815,9.613314,8.181647,9.687329,7.161689,6.302005,7.4266486,6.1061707,7.0637507,6.0546045,6.2878003,7.6263103,7.02952,5.8220835,-381.07462,-26.761011,-86.56633,-24.839134,-40.251373,-46.69656,-44.728752,-23.49337,-22.62608,-25.26021,-20.22445,-14.091271,-53.400475,-5.4460053,-25.566156,-23.762238,-21.595127,-35.258167,-27.390652,-14.183397,-161.0097,199.31134,69.56213,92.54367,43.691956,32.537964,27.195755,32.841537,20.4094,26.416012,16.99665,23.653042,17.655373,27.686699,20.422266,11.854363,11.353395,15.949351,14.314261,33.51642,0.06316495,0.11842227,-0.02483116,-0.015072573,0.054454457,-0.079033375,-0.026841622,0.012636879,-0.039463963,-0.035872098,0.018222537,0.028474422,-0.0066093327,0.013427678,0.00022428163,0.037433334,-0.005262699,-0.014765596,0.02667131,-0.010511124,8.544,9.151655,6.009928,4.2466693,2.8110037,2.692853,2.1668282,1.639202,1.5296253,1.5821055,1.3822263,1.1768874,1.3997115,1.2379516,1.2068355,1.2021176,1.1225643,1.1959724,1.2112428,1.13663,-20.322018,-26.165817,-19.54404,-13.573965,-6.9643874,-10.127584,-6.4891334,-4.4806986,-4.1067233,-4.5527697,-4.4954047,-4.7337136,-5.9771314,-4.2912374,-3.4565823,-3.6226249,-3.7323725,-5.119777,-4.013598,-5.5502343,29.263882,22.305296,16.090141,12.172302,7.814992,8.16715,7.27427,5.681575,5.0638595,4.4250507,3.1482008,3.4780412,7.1882734,3.6448636,3.5066218,3.2834837,2.7095568,3.781963,3.9180388,5.7675085,229.06575751060436,45.090724420620965,159.19961611844158,341.2518476034216,2108.339835718068,1257.1594281015582,3978.3217286289155,2298.2804760495874,vl
